X1,X2,X3,y
73.0,80.0,75.0,152.0
93.0,88.0,93.0,185.0
89.0,91.0,90.0,180.0
96.0,98.0,100.0,196.0
73.0,66.0,70.0,142.0
53.0,46.0,55.0,101.0
69.0,74.0,77.0,149.0
47.0,56.0,60.0,115.0
87.0,79.0,90.0,175.0
79.0,70.0,88.0,164.0
69.0,70.0,73.0,141.0
70.0,65.0,74.0,141.0
93.0,95.0,91.0,184.0
79.0,80.0,73.0,152.0
70.0,73.0,78.0,148.0
93.0,89.0,96.0,192.0
78.0,75.0,68.0,147.0
81.0,90.0,93.0,183.0
88.0,92.0,86.0,177.0
78.0,83.0,77.0,159.0
82.0,86.0,90.0,177.0
86.0,82.0,89.0,175.0
78.0,83.0,85.0,175.0
76.0,83.0,71.0,149.0
96.0,93.0,95.0,192.0
